symbol,name,opt-in,opt-out
SZ300763,锦浪科技,2022-06-10,2024-06-14
SZ300769,德方纳米,2022-12-09,2023-12-08
SZ300782,卓胜微,2021-12-10,
SZ300803,指南针,2025-12-08,
SZ300832,新产业,2024-06-14,
SZ300866,安克创新,2021-12-10,2022-12-09
SZ300866,安克创新,2025-12-08,
SZ300888,稳健医疗,2021-12-10,2022-06-10
SZ300896,爱美客,2021-12-10,
SZ300919,中伟股份,2022-06-10,2024-12-13
SZ300957,贝泰妮,2022-06-10,2024-12-13
SZ300979,华利集团,2022-06-10,
SZ300999,金龙鱼,2021-12-10,
SZ301236,软通动力,2025-06-13,
SZ301269,华大九天,2023-12-08,
SZ302132,中航成飞,2025-06-13,
SH600000,浦发银行,2005-04-08,
SH600001,邯郸钢铁,2005-04-08,2010-01-04
SH600002,鉴于齐鲁石化,2005-04-08,2006-04-24
SH600003,ST东北高,2007-07-02,2008-01-01
SH600004,白云机场,2005-04-08,2012-01-01
SH600004,白云机场,2018-12-17,2021-06-11
SH600005,武钢股份,2005-04-08,2013-12-16
SH600005,武钢股份,2015-06-15,2017-02-13
SH600006,东风汽车,2005-04-08,2011-07-01
SH600007,中国国贸,2005-04-08,2006-06-22
SH600007,中国国贸,2007-01-01,2009-07-01
SH600008,首创股份,2005-04-08,2012-07-02
SH600008,首创股份,2013-12-16,2018-12-17
SH600009,上海机场,2005-04-08,
SH600010,钢联股份,2005-04-08,
SH600011,华能国际,2005-04-08,2011-01-01
SH600011,华能国际,2012-07-02,2016-12-12
SH600011,华能国际,2017-12-11,
SH600012,皖通高速,2005-04-08,2008-12-25
SH600015,华夏银行,2005-04-08,
SH600016,民生银行,2005-04-08,
SH600017,日照港,2007-07-02,2011-07-01
SH600018,上港集团,2005-04-08,2012-01-01
SH600018,上港集团,2013-12-16,
SH600019,宝钢股份,2005-04-08,
SH600020,中原高速,2005-04-08,2009-07-01
SH600021,上海电力,2005-04-08,2009-07-01
SH600021,上海电力,2015-12-14,2018-06-11
SH600022,山东钢铁,2005-04-08,2011-01-01
SH600022,山东钢铁,2012-07-02,2013-07-01
SH600022,山东钢铁,2016-06-13,2016-12-12
SH600023,浙能电力,2014-06-16,2020-06-15
SH600023,浙能电力,2023-12-08,
SH600025,华能水电,2018-06-11,
SH600026,中远海能,2005-04-08,2012-07-02
SH600026,中远海能,2024-06-14,
SH600027,华电国际,2006-01-01,2011-01-01
SH600027,华电国际,2013-01-01,2016-12-12
SH600027,华电国际,2018-12-17,2021-06-11
SH600027,华电国际,2024-06-14,
SH600028,中国石化,2005-04-08,
SH600029,南方航空,2005-04-08,
SH600030,中信证券,2005-04-08,
SH600031,三一重工,2005-04-08,
SH600033,福建高速,2005-04-08,2011-07-01
SH600035,楚天高速,2005-04-08,2008-06-14
SH600036,招商银行,2005-04-08,
SH600037,歌华有线,2005-04-08,2013-07-01
SH600037,歌华有线,2016-06-13,2017-12-11
SH600038,中直股份,2014-12-15,2020-12-14
SH600039,四川路桥,2022-12-09,
SH600048,保利地产,2007-01-01,
SH600050,中国联通,2005-04-08,
SH600057,夏新电子,2005-04-08,2007-01-01
SH600058,五矿发展,2005-04-08,2015-06-15
SH600060,海信电器,2005-04-08,2008-01-01
SH600060,海信电器,2013-07-01,2017-12-11
SH600061,国投安信,2016-06-13,
SH600062,华润双鹤,2006-01-01,2008-01-01
SH600062,华润双鹤,2008-12-25,2009-07-01
SH600062,华润双鹤,2010-01-01,2014-12-15
SH600066,宇通客车,2007-01-01,2021-06-11
SH600066,宇通客车,2024-12-13,
SH600068,葛洲坝,2005-04-08,2006-06-22
SH600068,葛洲坝,2007-01-01,2021-06-11
SH600072,江南重工,2005-04-08,2005-07-01
SH600073,上海梅林,2005-04-08,2007-07-02
SH600074,*ST保千,2005-04-08,2006-01-01
SH600074,*ST保千,2016-06-13,2018-06-11
SH600078,澄星股份,2005-04-08,2008-01-01
